Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
suloctidil MCF7 UP,suloctidil MCF7 UP,0.0110200872640465,0.0028323516375065,42.803599885378894,4/117,EGR1;HMOX1;TNFAIP3;GEM,Fallback_DSigDB,Combined signature vs DSigDB
cisplatin DB00515 mouse GSE6206 sample 2692,cisplatin DB00515 mouse GSE6206 sample 2692,0.0115834571018432,0.0029833871116442,42.78502590572091,4/293,EGR1;SPP1;PTGS2;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
imatinib DB00619 human GSE28698 sample 2524,imatinib DB00619 human GSE28698 sample 2524,0.0137375273986827,0.0008139286464537472,42.71456360578904,6/375,IFITM2;CTSL;FGL2;LPL;XAF1;HSPA1B,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
phenobarbital CTD 00006510,phenobarbital CTD 00006510,0.0001926509857813956,1.1072930491173671e-05,42.36158844894076,18/1129,ERRFI1;IFITM2;SPARC;NNMT;IL1R1;CCL20;FN1;TNFAIP3;GEM;DCN;EREG;C3;SOCS2;AKAP12;ARL5B;SPP1;HMOX1;HIVEP2,Fallback_DSigDB,Combined signature vs DSigDB
withaferin A MCF7 UP,withaferin A MCF7 UP,0.0204864280053408,0.00654799848395,42.24063124042488,3/76,HMOX1;GEM;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
Etanercept DB00005 human GSE36177 sample 2597,Etanercept DB00005 human GSE36177 sample 2597,0.0140296342236862,0.0008599657784377361,41.9210995844587,6/379,HLA-DRB5;CLEC4D;RNF24;OSM;S100A12;HSPA1B,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
"doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262","doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262",0.0213878180911185,0.0068013823627473,41.88442916081903,3/189,GPNMB;TIMP1;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
alvespimycin HL60 UP,alvespimycin HL60 UP,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,BAG3;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
LY-294002 PC3 DOWN,LY,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,PPIF;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
asparagine BOSS,asparagine BOSS,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,HBB;LGMN,Fallback_DSigDB,Combined signature vs DSigDB
arsenite BOSS,arsenite BOSS,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
CHEMBL35349 CTD 00001274,CHEMBL35349 CTD 00001274,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,IL1R1;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
FLUORANTHENE CTD 00000365,FLUORANTHENE CTD 00000365,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,EGR1;SPP1,Fallback_DSigDB,Combined signature vs DSigDB
