gene,mean_abs_shap,mean_shap,direction,rank
ELF3,0.0057531524804758875,0.0011977639161510163,UP,412
F13A1,0.005747081825190296,-0.00013250753404089738,DOWN,413
CXCR2,0.005739242793440231,-0.0019678627640714627,DOWN,414
PRKD3,0.005722300602956168,0.0005230904191209215,UP,415
CROCC,0.005709328382183652,-0.0006485638623745182,DOWN,416
NEIL3,0.005699048983364389,-0.0001354313978510497,DOWN,417
JMY,0.005679296096335526,-0.0015746541634810928,DOWN,418
PDGFA,0.005678348650360479,0.0001289299881221187,UP,419
PTGIS,0.005657420101848979,0.00015294126848367694,UP,420
RPS6KB1,0.005613477411588489,-0.0002891871893724992,DOWN,421
SYNE2,0.005540067635142442,-7.309656189289185e-05,DOWN,422
CCL2,0.005520130808405464,-0.0009782259938804516,DOWN,423
